"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cambodia","Total renewable water resources (10^9 m3/year)",1962,476.1,"I",,1967,476.1,"I",,1972,476.1,"I",,1977,476.1,"I",,1982,476.1,"I",,1987,476.1,"I",,1992,476.1,"I",,1997,476.1,"I",,2002,476.1,"I",,2007,476.1,"I",,2012,476.1,"I",,2017,476.1,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cameroon","Total renewable water resources (10^9 m3/year)",1962,283.1,"I",,1967,283.1,"I",,1972,283.1,"I",,1977,283.1,"I",,1982,283.1,"I",,1987,283.1,"I",,1992,283.1,"I",,1997,283.1,"I",,2002,283.1,"I",,2007,283.1,"I",,2012,283.1,"I",,2017,283.1,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Canada","Total renewable water resources (10^9 m3/year)",1962,2902.0,"I",,1967,2902.0,"I",,1972,2902.0,"I",,1977,2902.0,"I",,1982,2902.0,"I",,1987,2902.0,"I",,1992,2902.0,"I",,1997,2902.0,"I",,2002,2902.0,"I",,2007,2902.0,"I",,2012,2902.0,"I",,2017,2902.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Central African Republic","Total renewable water resources (10^9 m3/year)",1962,141.0,"I",,1967,141.0,"I",,1972,141.0,"I",,1977,141.0,"I",,1982,141.0,"I",,1987,141.0,"I",,1992,141.0,"I",,1997,141.0,"I",,2002,141.0,"I",,2007,141.0,"I",,2012,141.0,"I",,2017,141.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
